Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC,tradecount
1630886400000,2021-09-06,ETHBTC,0.076315,0.076808,0.074432,0.07455,113725.797,8628.54012535,181138
1630800000000,2021-09-05,ETHBTC,0.077837,0.078767,0.075982,0.076316,126794.9485,9846.78677877,199227
1630713600000,2021-09-04,ETHBTC,0.078778,0.0793,0.077047,0.077832,126072.9194,9847.3378008,201818
1630627200000,2021-09-03,ETHBTC,0.076872,0.07955,0.076398,0.07877,174164.4637,13605.83299904,266580
1630540800000,2021-09-02,ETHBTC,0.078401,0.078409,0.074522,0.076868,181509.7419,13777.78200312,265970
1630454400000,2021-09-01,ETHBTC,0.072807,0.0786,0.072462,0.078401,204323.8982,15375.66322227,327285
1630368000000,2021-08-31,ETHBTC,0.06873,0.072931,0.068288,0.072812,212690.2329,15032.30971528,293549
1630281600000,2021-08-30,ETHBTC,0.066101,0.069156,0.065755,0.068734,160779.2322,10834.88662751,218141
1630195200000,2021-08-29,ETHBTC,0.066358,0.066585,0.065637,0.066101,88747.7584,5861.53635934,129074
1630108800000,2021-08-28,ETHBTC,0.066715,0.066868,0.06597,0.066372,94725.1443,6282.89804341,111751
1630022400000,2021-08-27,ETHBTC,0.066034,0.067433,0.065701,0.066726,125188.772,8332.86648508,171503
1629936000000,2021-08-26,ETHBTC,0.065891,0.066655,0.065431,0.066032,99916.1378,6604.38074722,157652
1629849600000,2021-08-25,ETHBTC,0.066503,0.066805,0.065229,0.065894,97466.094,6428.24658212,145901
1629763200000,2021-08-24,ETHBTC,0.067111,0.067645,0.0658,0.066502,107485.832,7187.76338966,162967
1629676800000,2021-08-23,ETHBTC,0.065756,0.067665,0.065411,0.06711,128505.211,8558.08561791,192772
1629590400000,2021-08-22,ETHBTC,0.066018,0.066494,0.064866,0.065754,93542.818,6158.0822602,142366
1629504000000,2021-08-21,ETHBTC,0.066598,0.06754,0.065555,0.066017,86993.351,5794.30285482,144972
1629417600000,2021-08-20,ETHBTC,0.068093,0.06876,0.066226,0.066602,137262.408,9307.26248632,195534
1629331200000,2021-08-19,ETHBTC,0.067442,0.068213,0.065971,0.068097,122214.064,8220.61430648,192592
1629244800000,2021-08-18,ETHBTC,0.067391,0.068043,0.066555,0.067445,119194.895,8042.98392506,192795
1629158400000,2021-08-17,ETHBTC,0.068554,0.069949,0.067216,0.067391,138081.117,9504.09280594,233498
1629072000000,2021-08-16,ETHBTC,0.070406,0.070558,0.068514,0.068555,118659.387,8222.16975395,197367
1628985600000,2021-08-15,ETHBTC,0.069326,0.070486,0.068133,0.070406,120181.572,8315.30691929,209529
1628899200000,2021-08-14,ETHBTC,0.069509,0.069949,0.069069,0.069333,91507.805,6358.78946156,163495
1628812800000,2021-08-13,ETHBTC,0.068601,0.070328,0.068484,0.069509,107778.364,7484.90373295,184636
1628726400000,2021-08-12,ETHBTC,0.069439,0.070314,0.067664,0.068595,116974.698,8081.0917703,214198
1628640000000,2021-08-11,ETHBTC,0.068913,0.070382,0.06867,0.069438,122542.066,8540.91703555,219079
1628553600000,2021-08-10,ETHBTC,0.068337,0.070419,0.067666,0.068913,124614.565,8585.72475342,226579
1628467200000,2021-08-09,ETHBTC,0.068766,0.069095,0.066877,0.068323,165334.584,11253.87628573,261662
1628380800000,2021-08-08,ETHBTC,0.070908,0.071331,0.067886,0.068759,134079.261,9332.1215234,232356
1628294400000,2021-08-07,ETHBTC,0.067506,0.071535,0.067033,0.070902,188715.157,13173.84734736,288116
1628208000000,2021-08-06,ETHBTC,0.069187,0.06965,0.0666,0.067498,163140.67,11097.20886944,243747
1628121600000,2021-08-05,ETHBTC,0.068588,0.073242,0.067133,0.069182,255311.179,17762.22607859,387318
1628035200000,2021-08-04,ETHBTC,0.065669,0.069349,0.065235,0.068589,152456.212,10226.74935492,252138
1627948800000,2021-08-03,ETHBTC,0.066595,0.066733,0.063829,0.065666,150450.433,9805.61165345,238367
1627862400000,2021-08-02,ETHBTC,0.064121,0.06705,0.063557,0.066593,138994.785,9119.99615979,219190
1627776000000,2021-08-01,ETHBTC,0.06104,0.065053,0.061035,0.064114,164902.618,10348.43889331,253217
1627689600000,2021-07-31,ETHBTC,0.058328,0.061119,0.0581,0.06104,104037.748,6174.65208572,164503
1627603200000,2021-07-30,ETHBTC,0.059547,0.060973,0.058315,0.058326,164188.106,9855.28941746,230866
1627516800000,2021-07-29,ETHBTC,0.057493,0.059778,0.057202,0.059547,120907.729,7023.2308327,167658
1627430400000,2021-07-28,ETHBTC,0.058273,0.058441,0.057031,0.057481,151434.436,8725.05525753,211175
1627344000000,2021-07-27,ETHBTC,0.05982,0.060347,0.058271,0.058279,153685.55,9111.35841627,225287
1627257600000,2021-07-26,ETHBTC,0.061901,0.062549,0.058669,0.059831,228273.763,13822.04151004,314919
1627171200000,2021-07-25,ETHBTC,0.063777,0.063869,0.061883,0.061909,91959.602,5769.40708636,140037
