Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDC,tradecount
1612137600000,2021-02-01,ETHUSDC,1313.98,1377.65,1271.2,1374.5,24384.3712,32404195.0793283,20723
1612051200000,2021-01-31,ETHUSDC,1379.84,1382.1,1281.16,1314.31,17944.36633,23814363.2794613,14916
1611964800000,2021-01-30,ETHUSDC,1382.57,1408.35,1326.61,1379.8,21350.51984,29070519.3128018,16342
1611878400000,2021-01-29,ETHUSDC,1332.18,1440.3,1288.38,1378.72,52460.50315,71956012.6005839,37668
1611792000000,2021-01-28,ETHUSDC,1241.61,1362.54,1210.09,1331.17,30864.63768,40600034.3757828,22556
1611705600000,2021-01-27,ETHUSDC,1368.4,1374.76,1206.77,1241.1,53306.88068,67765604.5270544,35378
1611619200000,2021-01-26,ETHUSDC,1318.54,1378.47,1243.85,1370.19,46963.20463,62048239.0525484,32012
1611532800000,2021-01-25,ETHUSDC,1394.05,1476.31,1294.35,1318,42934.46768,60158621.4717944,33144
1611446400000,2021-01-24,ETHUSDC,1234.29,1448,1221.92,1392.15,49655.78506,65976674.6550948,32102
1611360000000,2021-01-23,ETHUSDC,1233.32,1273.53,1197.66,1234.08,30705.67367,38086819.1716259,20697
1611273600000,2021-01-22,ETHUSDC,1113.02,1275.34,1040,1234,62705.57263,72876005.0307449,38549
1611187200000,2021-01-21,ETHUSDC,1378.77,1388.82,1085.1,1109.42,75957.73444,93213392.4503795,50721
1611100800000,2021-01-20,ETHUSDC,1367.72,1408.26,1231,1378.72,61750.07252,81632487.9506627,40192
1611014400000,2021-01-19,ETHUSDC,1258.99,1440,1252.34,1366.93,68700.28919,94426082.7022242,43914
1610928000000,2021-01-18,ETHUSDC,1233.33,1260.84,1182.66,1258.94,24708.78036,30306337.4185191,16554
1610841600000,2021-01-17,ETHUSDC,1227.18,1269.42,1166.01,1232.09,35027.50285,42627788.2387713,23628
1610755200000,2021-01-16,ETHUSDC,1169.68,1292.45,1151.96,1227.38,45301.65087,55540559.7717007,29581
1610668800000,2021-01-15,ETHUSDC,1231.38,1255,1058.37,1168.23,58864.46004,69314697.081551,33230
1610582400000,2021-01-14,ETHUSDC,1130,1246.41,1085.99,1229.45,48922.97282,57631637.9744912,28730
1610496000000,2021-01-13,ETHUSDC,1049.31,1136.92,986.01,1126.47,37485.23823,39974802.1111832,20661
1610409600000,2021-01-12,ETHUSDC,1087.18,1150.7,1006.01,1048.65,57895.78435,62676779.4300296,27440
1610323200000,2021-01-11,ETHUSDC,1255.39,1260.12,910,1086.44,141392.15209,147983782.764028,65629
1610236800000,2021-01-10,ETHUSDC,1281.01,1351.5,1158.99,1256.23,58205.25802,74989069.8138672,35888
1610150400000,2021-01-09,ETHUSDC,1217.7,1308.26,1173.05,1280.12,30239.30428,37554486.6741681,21490
1610064000000,2021-01-08,ETHUSDC,1226.49,1275,1064.64,1216.71,58076.50686,69223657.733954,34002
1609977600000,2021-01-07,ETHUSDC,1212.62,1294.91,1010.19,1225.7,51128.93981,62403026.133399,29818
1609891200000,2021-01-06,ETHUSDC,1103.5,1216.65,1059.66,1209.87,51948.05131,59656146.3232374,33189
1609804800000,2021-01-05,ETHUSDC,1043.99,1135.42,975,1102.7,49173.19579,52122270.8588889,32669
1609718400000,2021-01-04,ETHUSDC,980.02,1168,888,1042.2,92359.90891,93991954.0772573,52546
1609632000000,2021-01-03,ETHUSDC,775.24,1021.85,769.61,978.54,87214.42384,79755233.1999736,38852
1609545600000,2021-01-02,ETHUSDC,731.19,788.89,716.71,774.73,26362.64832,20029633.5583372,13326
1609459200000,2021-01-01,ETHUSDC,736.9,750.39,714.86,730.79,15151.39095,11120290.8268311,7556
1609372800000,2020-12-31,ETHUSDC,752.5,756.04,722,737.27,18938.33743,14010817.355559,9639
1609286400000,2020-12-30,ETHUSDC,731.79,758.6,709.92,751.98,14716.41323,10863902.9546102,9874
1609200000000,2020-12-29,ETHUSDC,729.02,739.09,687.64,730.91,16322.14243,11686332.9725991,11430
1609113600000,2020-12-28,ETHUSDC,684.42,746.98,680.83,729.01,25763.51754,18722928.5779667,15333
1609027200000,2020-12-27,ETHUSDC,636.75,716.26,625.72,684.23,39155.63905,26456924.5494033,20829
1608940800000,2020-12-26,ETHUSDC,627,652.26,615.26,636.38,16668.19292,10578086.4834381,10380
1608854400000,2020-12-25,ETHUSDC,612.68,634.12,604.04,626.47,11283.52338,6985312.6876195,7852
1608768000000,2020-12-24,ETHUSDC,584.69,615,535,612.1,17324.75183,10096156.6512588,10673
1608681600000,2020-12-23,ETHUSDC,637.24,638.1,551.75,585.18,27356.96313,16706828.1167886,14978
1608595200000,2020-12-22,ETHUSDC,609.49,637.48,588,636.91,12470.0609,7637917.8779881,7625
1608508800000,2020-12-21,ETHUSDC,638.33,648.13,596.15,607.98,17875.47286,11125900.4805363,8772
1608422400000,2020-12-20,ETHUSDC,658.41,661.69,621.77,638.54,11759.98087,7599533.6227542,7769
1608336000000,2020-12-19,ETHUSDC,655.07,670.69,646.14,658.72,11603.32888,7628951.3419509,8502
1608249600000,2020-12-18,ETHUSDC,643.92,664.49,629.75,654.5,11940.60794,7716499.5182482,7865
1608163200000,2020-12-17,ETHUSDC,637.53,676.62,626.61,643.08,35900.64027,23400759.650072,18296
1608076800000,2020-12-16,ETHUSDC,588.79,639.33,581,637.81,21772.33259,13418064.6985931,11556
1607990400000,2020-12-15,ETHUSDC,586.94,597.1,579,588.79,7196.891,4227072.6972573,4904
1607904000000,2020-12-14,ETHUSDC,590.52,591.49,576.01,586.13,5808.58073,3396845.0008914,3158
1607817600000,2020-12-13,ETHUSDC,569.5,597.06,563.3,590.83,9027.46128,5265799.3263494,4408
1607731200000,2020-12-12,ETHUSDC,544.67,573.85,543.59,567.93,6808.47841,3815839.4734129,3947
1607644800000,2020-12-11,ETHUSDC,559.95,560.32,534.97,543.72,11537.48933,6295074.444228,5921
1607558400000,2020-12-10,ETHUSDC,573.83,575.59,547.58,558.92,9181.50935,5148797.8849921,4651
1607472000000,2020-12-09,ETHUSDC,553.96,577.82,530.5,573.61,19089.34497,10591305.9642724,7958
1607385600000,2020-12-08,ETHUSDC,590.85,595.15,548.69,554.81,14667.4225,8401703.1912625,6824
1607299200000,2020-12-07,ETHUSDC,602.31,603.19,584.28,591.87,7994.08707,4752126.664079,3849
1607212800000,2020-12-06,ETHUSDC,597.7,607.64,583.22,602.16,8415.17656,5017478.3867791,4975
1607126400000,2020-12-05,ETHUSDC,567.12,597.52,561,596.94,8652.08987,5042516.501379,5588
1607040000000,2020-12-04,ETHUSDC,616.46,620.66,565.84,567.92,11865.42791,7022727.7451654,6830
1606953600000,2020-12-03,ETHUSDC,597.18,623.59,586.08,616.46,14816.27823,8941122.2985865,7309
1606867200000,2020-12-02,ETHUSDC,585.51,604.81,575.23,597.23,12029.29772,7109960.2523417,6746
1606780800000,2020-12-01,ETHUSDC,617.32,637,560,585.66,35093.19781,21162156.2937087,17192
1606694400000,2020-11-30,ETHUSDC,576.82,617.34,571.05,617.34,22964.42647,13729698.7116517,11209
1606608000000,2020-11-29,ETHUSDC,537.92,577.35,530.79,576.74,11757.60537,6483945.1850182,5583
1606521600000,2020-11-28,ETHUSDC,518.83,548.35,507.04,538.33,14315.22655,7592655.2240114,7529
1606435200000,2020-11-27,ETHUSDC,520.88,531.03,493.78,518.35,20947.61891,10761697.1200497,10356
1606348800000,2020-11-26,ETHUSDC,569.03,577.07,481.78,520.51,53889.71291,27746792.1213029,24273
1606262400000,2020-11-25,ETHUSDC,605.29,606.19,554.25,569.51,29349.57195,17274577.6052889,13682
1606176000000,2020-11-24,ETHUSDC,609.47,623.46,589.73,605.07,26299.32324,15968439.1097486,15144
1606089600000,2020-11-23,ETHUSDC,561.01,611.41,549.9,609.34,31311.29037,18481518.0743871,14824
1606003200000,2020-11-22,ETHUSDC,553.39,581.19,510,560.85,22114.14084,12108021.5529686,11060
1605916800000,2020-11-21,ETHUSDC,510.35,553.44,503.27,552.22,23805.75702,12581167.2809238,11651
1605830400000,2020-11-20,ETHUSDC,471.84,514.69,471.29,510,19435.84611,9711966.9938924,8353
1605744000000,2020-11-19,ETHUSDC,478.98,480.81,465.32,471.58,7313.1284,3467711.5754519,3175
1605657600000,2020-11-18,ETHUSDC,482.51,495.66,450,478.95,25325.44849,12094387.9314151,10856
1605571200000,2020-11-17,ETHUSDC,460.57,485.18,460.41,482.07,18480.21061,8734850.3103836,7943
1605484800000,2020-11-16,ETHUSDC,448.2,466.25,445.7,460.5,10815.80658,4948181.1893593,5659
1605398400000,2020-11-15,ETHUSDC,461.47,463.26,440.6,448.31,9214.27745,4170151.4670103,4530
1605312000000,2020-11-14,ETHUSDC,477.13,477.98,452.7,461.21,14401.74084,6650504.2550926,5946
1605225600000,2020-11-13,ETHUSDC,463.1,478.52,457.64,476.97,13382.78168,6273512.4463378,6473
1605139200000,2020-11-12,ETHUSDC,463.65,470.69,452.19,462.97,21435.39883,9865834.3076255,8125
1605052800000,2020-11-11,ETHUSDC,450.77,476.9,450.15,463.59,17977.74565,8346675.2436807,6811
1604966400000,2020-11-10,ETHUSDC,444.78,455,439.09,450.39,12021.5319,5385534.8039643,4503
1604880000000,2020-11-09,ETHUSDC,454.73,459.52,434.06,444.73,19687.96545,8784964.8630058,6862
1604793600000,2020-11-08,ETHUSDC,435.46,460.71,432.57,454.51,13308.76739,5947297.5390774,4470
1604707200000,2020-11-07,ETHUSDC,456.64,468.35,424.24,435.68,25289.67446,11289312.5544275,8999
1604620800000,2020-11-06,ETHUSDC,417.2,458.71,413.82,456.35,27180.78099,11875719.1454305,9050
1604534400000,2020-11-05,ETHUSDC,403.12,421.08,397,417.39,20369.72507,8325234.6504317,6900
